Team,Date,
Bears,8/10/2017,
Bears,8/31/2017,
Bears,9/10/2017,
Bears,9/24/2017,
Bears,10/9/2017,
Bears,10/22/2017,
Bears,11/12/2017,
Bears,11/19/2017,
Bears,12/3/2017,
Bears,12/24/2017,
Bears,8/25/2018,
Bears,8/30/2018,
Bears,9/17/2018,
Bears,9/30/2018,
Bears,10/21/2018,
Bears,10/28/2018,
Bears,11/11/2018,
Bears,11/18/2018,
Bears,12/9/2018,
Bears,12/16/2018,
Bears,1/6/2019,
Bears,8/8/2019,
Bears,8/29/2019,
Bears,9/5/2019,
Bears,9/29/2019,
Bears,10/20/2019,
Bears,10/27/2019,
Bears,11/10/2019,
Bears,11/24/2019,
Bears,12/5/2019,
Bears,12/22/2019,
Bears,9/20/2020,
Bears,10/4/2020,
Bears,10/8/2020,
Bears,10/26/2020,
Bears,11/1/2020,
Bears,11/16/2020,
Bears,12/6/2020,
Bears,12/13/2020,
Bears,1/3/2021,
