Date,Team
10/5/17,Blackhawks
10/7/17,Blackhawks
10/12/17,Blackhawks
10/14/17,Blackhawks
10/19/17,Blackhawks
10/27/17,Blackhawks
11/1/17,Blackhawks
11/5/17,Blackhawks
11/12/17,Blackhawks
11/15/17,Blackhawks
11/27/17,Blackhawks
11/30/17,Blackhawks
12/3/17,Blackhawks
12/8/17,Blackhawks
12/10/17,Blackhawks
12/12/17,Blackhawks
12/17/17,Blackhawks
1/5/18,Blackhawks
1/7/18,Blackhawks
1/10/18,Blackhawks
1/12/18,Blackhawks
1/14/18,Blackhawks
1/20/18,Blackhawks
1/22/18,Blackhawks
1/24/18,Blackhawks
2/6/18,Blackhawks
2/8/18,Blackhawks
2/15/18,Blackhawks
2/17/18,Blackhawks
2/19/18,Blackhawks
2/21/18,Blackhawks
2/23/18,Blackhawks
3/6/18,Blackhawks
3/8/18,Blackhawks
3/11/18,Blackhawks
3/18/18,Blackhawks
3/20/18,Blackhawks
3/22/18,Blackhawks
3/26/18,Blackhawks
3/29/18,Blackhawks
4/6/18,Blackhawks
10/7/18,Blackhawks
10/13/18,Blackhawks
10/18/18,Blackhawks
10/21/18,Blackhawks
10/23/18,Blackhawks
10/25/18,Blackhawks
10/28/18,Blackhawks
11/8/18,Blackhawks
11/14/18,Blackhawks
11/16/18,Blackhawks
11/18/18,Blackhawks
11/27/18,Blackhawks
12/2/18,Blackhawks
12/9/18,Blackhawks
12/12/18,Blackhawks
12/14/18,Blackhawks
12/16/18,Blackhawks
12/18/18,Blackhawks
12/23/18,Blackhawks
12/27/18,Blackhawks
1/1/19,Blackhawks
1/7/19,Blackhawks
1/9/19,Blackhawks
1/12/19,Blackhawks
1/20/19,Blackhawks
1/22/19,Blackhawks
2/7/19,Blackhawks
2/10/19,Blackhawks
2/14/19,Blackhawks
2/16/19,Blackhawks
2/18/19,Blackhawks
2/22/19,Blackhawks
2/24/19,Blackhawks
3/7/19,Blackhawks
3/11/19,Blackhawks
3/18/19,Blackhawks
3/21/19,Blackhawks
3/24/19,Blackhawks
4/1/19,Blackhawks
4/3/19,Blackhawks
4/5/19,Blackhawks
10/10/19,Blackhawks
10/12/19,Blackhawks
10/14/19,Blackhawks
10/18/19,Blackhawks
10/20/19,Blackhawks
10/22/19,Blackhawks
10/24/19,Blackhawks
10/27/19,Blackhawks
11/7/19,Blackhawks
11/10/19,Blackhawks
11/17/19,Blackhawks
11/19/19,Blackhawks
11/21/19,Blackhawks
11/26/19,Blackhawks
11/29/19,Blackhawks
12/2/19,Blackhawks
12/8/19,Blackhawks
12/15/19,Blackhawks
12/18/19,Blackhawks
12/23/19,Blackhawks
12/27/19,Blackhawks
1/5/20,Blackhawks
1/7/20,Blackhawks
1/9/20,Blackhawks
1/11/20,Blackhawks
1/19/20,Blackhawks
1/21/20,Blackhawks
2/5/20,Blackhawks
2/19/20,Blackhawks
2/21/20,Blackhawks
3/3/20,Blackhawks
3/5/20,Blackhawks
3/8/20,Blackhawks
3/11/20,Blackhawks
4/10/17,Cubs
4/12/17,Cubs
4/13/17,Cubs
4/14/17,Cubs
4/15/17,Cubs
4/16/17,Cubs
4/17/17,Cubs
4/18/17,Cubs
4/19/17,Cubs
5/1/17,Cubs
5/2/17,Cubs
5/3/17,Cubs
5/4/17,Cubs
5/5/17,Cubs
5/6/17,Cubs
5/7/17,Cubs
5/16/17,Cubs
5/17/17,Cubs
5/18/17,Cubs
5/19/17,Cubs
5/21/17,Cubs
5/22/17,Cubs
5/23/17,Cubs
5/24/17,Cubs
5/25/17,Cubs
6/2/17,Cubs
6/3/17,Cubs
6/4/17,Cubs
6/5/17,Cubs
6/6/17,Cubs
6/7/17,Cubs
6/8/17,Cubs
6/9/17,Cubs
6/10/17,Cubs
6/11/17,Cubs
6/19/17,Cubs
6/20/17,Cubs
6/21/17,Cubs
7/4/17,Cubs
7/5/17,Cubs
7/6/17,Cubs
7/7/17,Cubs
7/8/17,Cubs
7/9/17,Cubs
7/21/17,Cubs
7/22/17,Cubs
7/23/17,Cubs
7/24/17,Cubs
7/25/17,Cubs
8/1/17,Cubs
8/2/17,Cubs
8/3/17,Cubs
8/4/17,Cubs
8/5/17,Cubs
8/6/17,Cubs
8/14/17,Cubs
8/15/17,Cubs
8/16/17,Cubs
8/17/17,Cubs
8/18/17,Cubs
8/19/17,Cubs
8/20/17,Cubs
8/28/17,Cubs
8/29/17,Cubs
8/30/17,Cubs
8/31/17,Cubs
9/1/17,Cubs
9/2/17,Cubs
9/3/17,Cubs
9/8/17,Cubs
9/9/17,Cubs
9/10/17,Cubs
9/12/17,Cubs
9/13/17,Cubs
9/14/17,Cubs
9/15/17,Cubs
9/16/17,Cubs
9/17/17,Cubs
9/29/17,Cubs
9/30/17,Cubs
10/1/17,Cubs
4/10/18,Cubs
4/11/18,Cubs
4/12/18,Cubs
4/13/18,Cubs
4/14/18,Cubs
4/17/18,Cubs
4/19/18,Cubs
4/26/18,Cubs
4/27/18,Cubs
4/28/18,Cubs
4/29/18,Cubs
4/30/18,Cubs
5/1/18,Cubs
5/2/18,Cubs
5/7/18,Cubs
5/8/18,Cubs
5/9/18,Cubs
5/11/18,Cubs
5/12/18,Cubs
5/13/18,Cubs
5/14/18,Cubs
5/22/18,Cubs
5/23/18,Cubs
5/25/18,Cubs
5/26/18,Cubs
5/27/18,Cubs
6/5/18,Cubs
6/6/18,Cubs
6/7/18,Cubs
6/8/18,Cubs
6/9/18,Cubs
6/10/18,Cubs
6/19/18,Cubs
6/19/18,Cubs
6/20/18,Cubs
6/29/18,Cubs
6/30/18,Cubs
7/1/18,Cubs
7/3/18,Cubs
7/4/18,Cubs
7/6/18,Cubs
7/7/18,Cubs
7/8/18,Cubs
7/19/18,Cubs
7/20/18,Cubs
7/21/18,Cubs
7/21/18,Cubs
7/22/18,Cubs
7/23/18,Cubs
7/24/18,Cubs
7/25/18,Cubs
7/26/18,Cubs
8/2/18,Cubs
8/3/18,Cubs
8/4/18,Cubs
8/5/18,Cubs
8/10/18,Cubs
8/11/18,Cubs
8/12/18,Cubs
8/14/18,Cubs
8/15/18,Cubs
8/23/18,Cubs
8/24/18,Cubs
8/25/18,Cubs
8/26/18,Cubs
8/27/18,Cubs
8/28/18,Cubs
8/29/18,Cubs
9/10/18,Cubs
9/11/18,Cubs
9/12/18,Cubs
9/14/18,Cubs
9/15/18,Cubs
9/16/18,Cubs
9/24/18,Cubs
9/25/18,Cubs
9/26/18,Cubs
9/27/18,Cubs
9/28/18,Cubs
9/29/18,Cubs
9/30/18,Cubs
10/1/18,Cubs
4/8/19,Cubs
4/10/19,Cubs
4/11/19,Cubs
4/12/19,Cubs
4/13/19,Cubs
4/19/19,Cubs
4/20/19,Cubs
4/21/19,Cubs
4/23/19,Cubs
4/24/19,Cubs
4/25/19,Cubs
5/3/19,Cubs
5/4/19,Cubs
5/5/19,Cubs
5/6/19,Cubs
5/7/19,Cubs
5/8/19,Cubs
5/9/19,Cubs
5/10/19,Cubs
5/11/19,Cubs
5/12/19,Cubs
5/20/19,Cubs
5/21/19,Cubs
5/22/19,Cubs
5/23/19,Cubs
5/24/19,Cubs
5/25/19,Cubs
5/26/19,Cubs
6/3/19,Cubs
6/4/19,Cubs
6/5/19,Cubs
6/6/19,Cubs
6/7/19,Cubs
6/8/19,Cubs
6/9/19,Cubs
6/18/19,Cubs
6/19/19,Cubs
6/20/19,Cubs
6/21/19,Cubs
6/22/19,Cubs
6/23/19,Cubs
6/24/19,Cubs
6/25/19,Cubs
6/26/19,Cubs
6/27/19,Cubs
7/12/19,Cubs
7/13/19,Cubs
7/14/19,Cubs
7/15/19,Cubs
7/16/19,Cubs
7/17/19,Cubs
7/19/19,Cubs
7/20/19,Cubs
7/21/19,Cubs
8/2/19,Cubs
8/3/19,Cubs
8/4/19,Cubs
8/5/19,Cubs
8/6/19,Cubs
8/7/19,Cubs
8/20/19,Cubs
8/21/19,Cubs
8/22/19,Cubs
8/23/19,Cubs
8/24/19,Cubs
8/25/19,Cubs
8/30/19,Cubs
8/31/19,Cubs
9/1/19,Cubs
9/2/19,Cubs
9/3/19,Cubs
9/13/19,Cubs
9/14/19,Cubs
9/15/19,Cubs
9/16/19,Cubs
9/17/19,Cubs
9/18/19,Cubs
9/19/19,Cubs
9/20/19,Cubs
9/21/19,Cubs
9/22/19,Cubs
7/24/20,Cubs
7/25/20,Cubs
7/26/20,Cubs
7/31/20,Cubs
8/1/20,Cubs
8/2/20,Cubs
8/3/20,Cubs
8/4/20,Cubs
8/13/20,Cubs
8/14/20,Cubs
8/15/20,Cubs
8/16/20,Cubs
8/17/20,Cubs
8/18/20,Cubs
8/19/20,Cubs
8/21/20,Cubs
8/22/20,Cubs
8/23/20,Cubs
9/4/20,Cubs
9/5/20,Cubs
9/6/20,Cubs
9/7/20,Cubs
9/8/20,Cubs
9/9/20,Cubs
9/10/20,Cubs
9/15/20,Cubs
9/16/20,Cubs
9/18/20,Cubs
9/19/20,Cubs
9/20/20,Cubs
9/30/20,Cubs
10/1/20,Cubs
10/2/20,Cubs
10/19/17,Bulls
10/21/17,Bulls
10/24/17,Bulls
10/26/17,Bulls
10/28/17,Bulls
11/1/17,Bulls
11/3/17,Bulls
11/4/17,Bulls
11/7/17,Bulls
11/10/17,Bulls
11/11/17,Bulls
11/15/17,Bulls
11/17/17,Bulls
11/19/17,Bulls
11/21/17,Bulls
11/22/17,Bulls
11/24/17,Bulls
11/26/17,Bulls
11/28/17,Bulls
11/30/17,Bulls
12/1/17,Bulls
12/4/17,Bulls
12/6/17,Bulls
12/8/17,Bulls
12/9/17,Bulls
12/11/17,Bulls
12/13/17,Bulls
12/15/17,Bulls
12/18/17,Bulls
12/20/17,Bulls
12/21/17,Bulls
12/23/17,Bulls
12/26/17,Bulls
12/27/17,Bulls
12/29/17,Bulls
12/31/17,Bulls
1/1/18,Bulls
1/3/18,Bulls
1/5/18,Bulls
1/6/18,Bulls
1/8/18,Bulls
1/10/18,Bulls
1/13/18,Bulls
1/15/18,Bulls
1/17/18,Bulls
1/20/18,Bulls
1/22/18,Bulls
1/24/18,Bulls
1/26/18,Bulls
1/28/18,Bulls
1/31/18,Bulls
2/3/18,Bulls
2/5/18,Bulls
2/9/18,Bulls
2/10/18,Bulls
2/12/18,Bulls
2/14/18,Bulls
2/22/18,Bulls
2/24/18,Bulls
2/26/18,Bulls
2/27/18,Bulls
3/2/18,Bulls
3/5/18,Bulls
3/7/18,Bulls
3/9/18,Bulls
3/11/18,Bulls
3/13/18,Bulls
3/15/18,Bulls
3/17/18,Bulls
3/19/18,Bulls
3/21/18,Bulls
3/23/18,Bulls
3/24/18,Bulls
3/27/18,Bulls
3/29/18,Bulls
3/30/18,Bulls
4/1/18,Bulls
4/3/18,Bulls
4/6/18,Bulls
4/7/18,Bulls
4/9/18,Bulls
4/11/18,Bulls
10/18/18,Bulls
10/20/18,Bulls
10/22/18,Bulls
10/24/18,Bulls
10/26/18,Bulls
10/27/18,Bulls
10/29/18,Bulls
10/31/18,Bulls
11/2/18,Bulls
11/3/18,Bulls
11/5/18,Bulls
11/7/18,Bulls
11/10/18,Bulls
11/12/18,Bulls
11/14/18,Bulls
11/16/18,Bulls
11/17/18,Bulls
11/21/18,Bulls
11/23/18,Bulls
11/24/18,Bulls
11/26/18,Bulls
11/28/18,Bulls
11/30/18,Bulls
12/1/18,Bulls
12/4/18,Bulls
12/7/18,Bulls
12/8/18,Bulls
12/10/18,Bulls
12/13/18,Bulls
12/15/18,Bulls
12/17/18,Bulls
12/19/18,Bulls
12/21/18,Bulls
12/23/18,Bulls
12/26/18,Bulls
12/28/18,Bulls
12/30/18,Bulls
1/2/19,Bulls
1/4/19,Bulls
1/6/19,Bulls
1/9/19,Bulls
1/11/19,Bulls
1/12/19,Bulls
1/15/19,Bulls
1/17/19,Bulls
1/19/19,Bulls
1/21/19,Bulls
1/23/19,Bulls
1/25/19,Bulls
1/27/19,Bulls
1/29/19,Bulls
1/30/19,Bulls
2/2/19,Bulls
2/6/19,Bulls
2/8/19,Bulls
2/9/19,Bulls
2/11/19,Bulls
2/13/19,Bulls
2/22/19,Bulls
2/23/19,Bulls
2/25/19,Bulls
2/27/19,Bulls
3/1/19,Bulls
3/3/19,Bulls
3/5/19,Bulls
3/6/19,Bulls
