Date,Blackhawks,Cubs,Bulls,Bears,White Sox
4/4/17,,,,,TRUE
4/6/17,,,,,TRUE
4/7/17,,,,,TRUE
4/8/17,,,,,TRUE
4/9/17,,,,,TRUE
4/10/17,,TRUE,,,
4/12/17,,TRUE,,,
4/13/17,,TRUE,,,
4/14/17,,TRUE,,,
4/15/17,,TRUE,,,
4/16/17,,TRUE,,,
4/17/17,,TRUE,,,
4/18/17,,TRUE,,,
4/19/17,,TRUE,,,
4/21/17,,,,,TRUE
4/22/17,,,,,TRUE
4/23/17,,,,,TRUE
4/24/17,,,,,TRUE
4/25/17,,,,,TRUE
4/26/17,,,,,TRUE
5/1/17,,TRUE,,,
5/2/17,,TRUE,,,
5/3/17,,TRUE,,,
5/4/17,,TRUE,,,
5/5/17,,TRUE,,,
5/6/17,,TRUE,,,
5/7/17,,TRUE,,,
5/9/17,,,,,TRUE
5/11/17,,,,,TRUE
5/12/17,,,,,TRUE
5/13/17,,,,,TRUE
5/14/17,,,,,TRUE
5/16/17,,TRUE,,,
5/17/17,,TRUE,,,
5/18/17,,TRUE,,,
5/19/17,,TRUE,,,
5/21/17,,TRUE,,,
5/22/17,,TRUE,,,
5/23/17,,TRUE,,,
5/24/17,,TRUE,,,
5/25/17,,TRUE,,,
5/26/17,,,,,TRUE
5/27/17,,,,,TRUE
5/28/17,,,,,TRUE
5/29/17,,,,,TRUE
5/30/17,,,,,TRUE
5/31/17,,,,,TRUE
6/2/17,,TRUE,,,
6/3/17,,TRUE,,,
6/4/17,,TRUE,,,
6/5/17,,TRUE,,,
6/6/17,,TRUE,,,
6/7/17,,TRUE,,,
6/8/17,,TRUE,,,
6/9/17,,TRUE,,,
6/10/17,,TRUE,,,
6/11/17,,TRUE,,,
6/12/17,,,,,TRUE
6/13/17,,,,,TRUE
6/14/17,,,,,TRUE
6/15/17,,,,,TRUE
6/19/17,,TRUE,,,
6/20/17,,TRUE,,,
6/21/17,,TRUE,,,
6/23/17,,,,,TRUE
6/24/17,,,,,TRUE
6/25/17,,,,,TRUE
6/26/17,,,,,TRUE
6/27/17,,,,,TRUE
6/28/17,,,,,TRUE
6/29/17,,,,,TRUE
6/30/17,,,,,TRUE
7/1/17,,,,,TRUE
