Team,Game,Date / Box Score,Opponent,Decision,Home Game
White Sox,1,4/4/17,vs Detroit Tigers,L,TRUE
White Sox,2,4/6/17,vs Detroit Tigers,W,TRUE
White Sox,3,4/7/17,vs Minnesota Twins,L,TRUE
White Sox,4,4/8/17,vs Minnesota Twins,W,TRUE
White Sox,5,4/9/17,vs Minnesota Twins,L,TRUE
White Sox,6,4/11/17,at Cleveland Indians,L,FALSE
White Sox,7,4/12/17,at Cleveland Indians,W,FALSE
White Sox,8,4/13/17,at Cleveland Indians,W,FALSE
White Sox,9,4/14/17,at Minnesota Twins,W,FALSE
White Sox,10,4/15/17,at Minnesota Twins,L,FALSE
White Sox,11,4/16/17,at Minnesota Twins,W,FALSE
White Sox,12,4/17/17,at New York Yankees,L,FALSE
White Sox,13,4/18/17,at New York Yankees,W,FALSE
White Sox,14,4/19/17,at New York Yankees,L,FALSE
White Sox,15,4/21/17,vs Cleveland Indians,L,TRUE
White Sox,16,4/22/17,vs Cleveland Indians,L,TRUE
White Sox,17,4/23/17,vs Cleveland Indians,W,TRUE
White Sox,18,4/24/17,vs Kansas City Royals,W,TRUE
White Sox,19,4/25/17,vs Kansas City Royals,W,TRUE
White Sox,20,4/26/17,vs Kansas City Royals,W,TRUE
White Sox,21,4/28/17,at Detroit Tigers,W,FALSE
White Sox,22,4/29/17,at Detroit Tigers,W,FALSE
White Sox,23,4/30/17,at Detroit Tigers,L,FALSE
White Sox,24,5/1/17,at Kansas City Royals,L,FALSE
White Sox,25,5/2/17,at Kansas City Royals,W,FALSE
White Sox,26,5/3/17,at Kansas City Royals,L,FALSE
White Sox,27,5/4/17,at Kansas City Royals,W,FALSE
White Sox,28,5/5/17,at Baltimore Orioles,L,FALSE
White Sox,29,5/6/17,at Baltimore Orioles,L,FALSE
White Sox,30,5/7/17,at Baltimore Orioles,L,FALSE
White Sox,31,5/9/17,vs Minnesota Twins,L,TRUE
White Sox,32,5/11/17,vs Minnesota Twins,L,TRUE
White Sox,33,5/12/17,vs San Diego Padres,L,TRUE
White Sox,34,5/13/17,vs San Diego Padres,W,TRUE
White Sox,35,5/14/17,vs San Diego Padres,W,TRUE
White Sox,36,5/15/17,at Los Angeles Angels,L,FALSE
White Sox,37,5/16/17,at Los Angeles Angels,L,FALSE
White Sox,38,5/17/17,at Los Angeles Angels,L,FALSE
White Sox,39,5/18/17,at Seattle Mariners,L,FALSE
White Sox,40,5/19/17,at Seattle Mariners,W,FALSE
White Sox,41,5/20/17,at Seattle Mariners,W,FALSE
White Sox,42,5/21/17,at Seattle Mariners,W,FALSE
White Sox,43,5/22/17,at Arizona Diamondbacks,L,FALSE
